,0
0,aceton
1,amalgam
2,ammoniak
3,ananas
4,anis
5,ansjovis
6,apa
7,apelsin
8,aprikos
9,aromatisk
10,asfalt
11,avfall
12,avföring
13,avgaser
14,avlopp
15,bakkrydda
16,bakning
17,bakverk
18,banan
19,barr
20,basilika
21,behaglig
22,bekant
23,bensin
24,bil
25,bittermandel
26,blomma
27,blyerts
28,bonvax
29,bränd
30,bränt
31,bröd
32,brödkrydda
33,bröstkaramell
34,buljong
35,bär
36,champinjon
37,choklad
38,citron
39,citronmeliss
40,citrus
41,curry
42,damm
43,deodorant
44,desinfektion
45,diesel
46,dill
47,diskmedel
48,distinkt
49,dy
50,däck
51,dålig
52,eau de cologne
53,eter
54,eukalyptus
55,exotisk
56,farin
57,fernissa
58,fisk
59,fotogen
60,fotsvett
61,frisk
62,frukt
63,fruktig
64,frän
65,fräsch
66,fy
67,fänkål
68,färg
69,förtunningsmedel
70,gamla
71,gammal
72,garage
73,gas
74,geléhallon
75,glass
76,god
77,godis
78,gran
79,grapefrukt
80,gräs
81,grön
82,grönsak
83,gummi
84,gurka
85,gödsel
86,hallon
87,hallonbåtar
88,halstablett
89,hemsk
90,honung
91,hostmedicin
92,hudkräm
93,hummer
94,hägg
95,hö
96,illa
97,ingefära
98,instängd
99,jasmin
100,jord
101,jordgubbe
102,jul
103,kaffe
104,kaffesump
105,kaka
106,kakao
107,kamfer
108,kanel
109,kantarell
110,karamell
111,kardemumma
112,kattpiss
113,kemikalie
114,kemisk
115,kiwi
116,klister
117,kola
118,konstgjord
119,konstig
120,kosmetika
121,krabba
122,krusbär
123,krydda
124,kryddpeppar
125,kräfta
126,kräm
127,kummin
128,kungen av danmark
129,källare
130,kåda
131,kål
132,kök
133,körsbär
134,kött
135,lack
136,lacknafta
137,ladugård
138,lake
139,lakrits
140,lavendel
141,likör
142,liljekonvalj
143,lim
144,lime
145,linement
146,linolja
147,livsmedel
148,lutfisk
149,läder
150,läkerol
151,lök
152,lösningsmedel
153,malmedel
154,mandarin
155,mandel
156,mango
157,marsipan
158,mat
159,matlagning
160,matos
161,medicin
162,medicinsk
163,melon
164,mentol
165,mild
166,mint
167,morot
168,mossa
169,motorolja
170,muskot
171,mysk
172,målarfärg
173,möbelpolish
174,mögel
175,naftalin
176,nagellack
177,natur
178,nejlika
179,nöt
180,oangenäm
181,obehaglig
182,obestämd
183,ogillar
184,olja
185,ost
186,otrevlig
187,otäck
188,papaya
189,parfym
190,passionsfrukt
191,peppar
192,pepparkaka
193,pepparmint
194,pepparrot
195,persika
196,persilja
197,petroleum
198,plast
199,polermedel
200,polish
201,polkagris
202,potatis
203,pyton
204,päron
205,rakvatten
206,rengöring
207,rengöringsmedel
208,ros
209,rosenvatten
210,rosmarin
211,rotfrukt
212,rutten
213,ruttet ägg
214,räka
215,räkskal
216,rök
217,rökelse
218,rökt
219,saffran
220,saft
221,salmiak
222,salt sill
223,salva
224,sardin
225,schampo
226,sega gubbar
227,selleri
228,senap
229,sill
230,sirap
231,sjukhus
232,sjukvård
233,skaldjur
234,skarp
235,skinka
236,skinn
237,skit
238,sko
239,skog
240,skokräm
241,skomakare
242,skomakeri
243,skoputs
244,skumbanan
245,skurtrasa
246,smultron
247,snask
248,solution
249,sopa
250,sprit
251,spritpenna
252,stark
253,stearin
254,stekos
255,stekt
256,stickande
257,strömming
258,sur
259,surströmming
260,svag
261,svamp
262,svavel
263,svett
264,syrlig
265,syrén
266,såpa
267,söt
268,tablett
269,tall
270,tallbarr
271,tandkräm
272,tandläkare
273,te
274,terpentin
275,thinner
276,timjan
277,tjära
278,toalett
279,tobak
280,trä
281,träd
282,träslag
283,tuggummi
284,tuttifrutti
285,tvättmedel
286,tvål
287,urin
288,usch
289,vademecum
290,vanilj
291,verkstad
292,vidbränd
293,vin
294,viol
295,vitlök
296,vitpeppar
297,väldoftande
298,växt
299,äcklig
300,äpple
301,ätbar
302,ört
